node,cpu,mem,cpu_percent,mem_percent
corespeechd,0,23552.0,0.0,0.00000
distnoted,0,1361,0.0,0.00000
familycircled,0,7489,0.0,0.00000
sharedfilelistd,0,5249,0.0,0.00000
WiFiAgent,0,30720.0,0.0,0.00000
usernotification,0,9298,0.0,0.00000
filecoordination,0,4561,0.0,0.00000
awdd,0,3554,0.0,0.00000
sharingd,0,29696.0,0.0,0.00000
fileproviderd,0,21504.0,0.0,0.00000
ctkd,0,3361,0.0,0.00000
accountsd,0,20480.0,0.0,0.00000
identityservices,0,19456.0,0.0,0.00000
lockoutagent,0,3713,0.0,0.00000
rapportd,0,10240.0,0.0,0.00000
nsurlsessiond,0,10240.0,0.0,0.00000
pboard,0,3441,0.0,0.00000
universalaccessd,0,9954,0.0,0.00000
UserEventAgent,0,9041,0.0,0.00000
secd,0,13312.0,0.0,0.00000
securityd_servic,0,2865,0.0,0.00000
coreauthd,0,5473,0.0,0.00000
oahd,0,2209,0.0,0.00000
mdbulkimport,0,5825,0.0,0.00000
mdbulkimport,0,6641,0.0,0.00000
lsd,0,11264.0,0.0,0.00000
SubmitDiagInfo,0,5553,0.0,0.00000
cfprefsd,0,4193,0.0,0.00000
distnoted,0,3745,0.0,0.00000
distnoted,0,1457,0.0,0.00000
mds_stores,0,57344.0,0.0,0.00000
gamepolicyd,0,4865,0.0,0.00000
kdc,0,3473,0.0,0.00000
distnoted,0,1489,0.0,0.00000
locationd,0,14336.0,0.0,0.00000
appleeventsd,0,3617,0.0,0.00000
eligibilityd,0,3137,0.0,0.00000
systemstats,0,2769,0.0,0.00000
distnoted,0,1489,0.0,0.00000
wifianalyticsd,0,8897,0.0,0.00000
UVCAssistant,0,4673,0.0,0.00000
cameracaptured,0,7634,0.0,0.00000
searchpartyd,0,7265,0.0,0.00000
distnoted,0,1457,0.0,0.00000
appleh13camerad,0,6833,0.0,0.00000
distnoted,0,1521,0.0,0.00000
com.apple.AppleU,0,3025,0.0,0.00000
com.apple.Driver,0,1153,0.0,0.00000
audioclocksyncd,0,5473,0.0,0.00000
syspolicyd,0,60416.0,0.0,0.00000
storagekitd,0,6609,0.0,0.00000
distnoted,0,1457,0.0,0.00000
symptomsd,0,7345,0.0,0.00000
authd,0,5185,0.0,0.00000
mDNSResponderHel,0,3297,0.0,0.00000
distnoted,0,1377,0.0,0.00000
distnoted,0,1409,0.0,0.00000
systemstatusd,0,4209,0.0,0.00000
distnoted,0,1441,0.0,0.00000
nsurlsessiond,0,6658,0.0,0.00000
apfsd,0,3937,0.0,0.00000
coreaudiod,0,29696.0,0.0,0.00000
analyticsd,0,9313,0.0,0.00000
mDNSResponder,0,7009,0.0,0.00000
airportd,0,28672.0,0.0,0.00000
coreservicesd,0,9649,0.0,0.00000
contextstored,0,7169,0.0,0.00000
lsd,0,10240.0,0.0,0.00000
runningboardd,0,10240.0,0.0,0.00000
loginwindow,0,50176.0,0.0,0.00000
tccd,0,7857,0.0,0.00000
cfprefsd,0,4817,0.0,0.00000
WindowServer,0,705536.0,0.0,0.00000
com.apple.cmio.r,0,4929,0.0,0.00000
AirPlayXPCHelper,0,5409,0.0,0.00000
corebrightnessd,0,5009,0.0,0.00000
notifyd,0,3825,0.0,0.00000
KernelEventAgent,0,1553,0.0,0.00000
revisiond,0,3697,0.0,0.00000
logind,0,2609,0.0,0.00000
distnoted,0,2097,0.0,0.00000
dasd,0,7793,0.0,0.00000
autofsd,0,1809,0.0,0.00000
securityd,0,7601,0.0,0.00000
usbmuxd,0,4513,0.0,0.00000
timed,0,3217,0.0,0.00000
launchservicesd,0,14336.0,0.0,0.00000
apsd,0,12288.0,0.0,0.00000
opendirectoryd,0,14336.0,0.0,0.00000
thermalmonitord,0,2337,0.0,0.00000
syslogd,0,2209,0.0,0.00000
diskarbitrationd,0,3457,0.0,0.00000
kernelmanagerd,0,11264.0,0.0,0.00000
mds,0,71680.0,0.0,0.00000
watchdogd,0,1889,0.0,0.00000
remoted,0,3073,0.0,0.00000
IOMFB_bics_daemo,0,1905,0.0,0.00000
powerd,0,5825,0.0,0.00000
configd,0,8897,0.0,0.00000
systemstats,0,5969,0.0,0.00000
mediaremoted,0,7041,0.0,0.00000
fseventsd,0,7137,0.0,0.00000
uninstalld,0,1825,0.0,0.00000
UserEventAgent,0,6561,0.0,0.00000
logd,0,31744.0,0.0,0.00000
launchd,0,20480.0,0.0,0.00000
kernel_task,0,25600.0,0.0,0.00000
top,0,4177,0.0,0.00000
zsh,0,2113,0.0,0.00000
sshd,0,2657,0.0,0.00000
sshd,0,4625,0.0,0.00000
GSSCred,0,3009,0.0,0.00000
com.apple.Accoun,0,1729,0.0,0.00000
Python,0,22528.0,0.0,0.00000
mdworker_shared,0,2913,0.0,0.00000
mdworker_shared,0,2945,0.0,0.00000
mdworker_shared,0,3921,0.0,0.00000
AXVisualSupportA,0,7602,0.0,0.00000
ThumbnailExtensi,0,6193,0.0,0.00000
com.apple.quickl,0,6177,0.0,0.00000
mdworker_shared,0,3969,0.0,0.00000
mdworker_shared,0,3969,0.0,0.00000
containermanager,0,2273,0.0,0.00000
trustd,0,5121,0.0,0.00000
cfprefsd,0,2657,0.0,0.00000
secinitd,0,3057,0.0,0.00000
secinitd,0,3073,0.0,0.00000
com.apple.geod,0,6305,0.0,0.00000
com.apple.geod,0,6289,0.0,0.00000
containermanager,0,2305,0.0,0.00000
trustdFileHelper,0,2977,0.0,0.00000
trustd,0,5089,0.0,0.00000
cfprefsd,0,2785,0.0,0.00000
secinitd,0,3233,0.0,0.00000
com.apple.geod,0,6305,0.0,0.00000
mdworker_shared,0,3153,0.0,0.00000
mdworker_shared,0,3041,0.0,0.00000
mdworker_shared,0,4001,0.0,0.00000
AssetCacheTether,0,3169,0.0,0.00000
AssetCache,0,4113,0.0,0.00000
AssetCacheLocato,0,3809,0.0,0.00000
MTLCompilerServi,0,11264.0,0.0,0.00000
com.apple.access,0,2913,0.0,0.00000
nsattributedstri,0,12288.0,0.0,0.00000
mdworker_shared,0,2993,0.0,0.00000
iconservicesd,0,3041,0.0,0.00000
iconservicesagen,0,3121,0.0,0.00000
CategoriesServic,0,2289,0.0,0.00000
neagent,0,2769,0.0,0.00000
ManagedSettingsA,0,3793,0.0,0.00000
FamilyControlsAg,0,2257,0.0,0.00000
dmd,0,4321,0.0,0.00000
ScreenTimeAgent,0,8993,0.0,0.00000
calaccessd,0,9169,0.0,0.00000
WeatherWidget,0,19456.0,0.0,0.00000
WorldClockWidget,0,14336.0,0.0,0.00000
secinitd,0,3729,0.0,0.00000
ScreenTimeWidget,0,20480.0,0.0,0.00000
CalendarWidgetEx,0,11264.0,0.0,0.00000
StocksWidget,0,22528.0,0.0,0.00000
extensionkitserv,0,3425,0.0,0.00000
localizationswit,0,3089,0.0,0.00000
pkd,0,3809,0.0,0.00000
chronod,0,19456.0,0.0,0.00000
donotdisturbd,0,6881,0.0,0.00000
intents_helper,0,2769,0.0,0.00000
sandboxd,0,2721,0.0,0.00000
intents_helper,0,2241,0.0,0.00000
CommCenter,0,6401,0.0,0.00000
online-auth-agen,0,2497,0.0,0.00000
WirelessRadioMan,0,2577,0.0,0.00000
swcd,0,3233,0.0,0.00000
replayd,0,10240.0,0.0,0.00000
maild,0,3441,0.0,0.00000
idleassetsd,0,10240.0,0.0,0.00000
